The train model is : ./model/Sougoumodel_epoch_9.bin
The logger information is saved in : ./train_data/job_logger.txt
	 batch = 9500 	 loss = 8.81035 	 cost_time = 490.164s
	 batch = 9600 	 loss = 5.90332 	 cost_time = 495.362s
	 batch = 9700 	 loss = 5.40518 	 cost_time = 500.497s
	 batch = 9800 	 loss = 6.15077 	 cost_time = 505.519s
	 batch = 9900 	 loss = 4.04901 	 cost_time = 510.557s
	 batch = 10000 	 loss = 4.45849 	 cost_time = 516.354s
	 batch = 10100 	 loss = 5.54165 	 cost_time = 521.274s
	 batch = 10200 	 loss = 6.17096 	 cost_time = 526.308s
	 batch = 10300 	 loss = 6.32612 	 cost_time = 531.377s
	 batch = 10400 	 loss = 8.79167 	 cost_time = 536.123s
	 batch = 10500 	 loss = 3.06227 	 cost_time = 540.936s
	 batch = 10600 	 loss = 5.85366 	 cost_time = 545.987s
	 batch = 10700 	 loss = 2.76056 	 cost_time = 551.065s
	 batch = 10800 	 loss = 4.04922 	 cost_time = 555.905s
	 batch = 10900 	 loss = 3.90672 	 cost_time = 560.981s
	 batch = 11000 	 loss = 5.55622 	 cost_time = 566.700s
	 batch = 11100 	 loss = 5.65555 	 cost_time = 571.540s
	 batch = 11200 	 loss = 4.71031 	 cost_time = 576.682s
	 batch = 11300 	 loss = 5.60966 	 cost_time = 581.731s
	 batch = 11400 	 loss = 2.40949 	 cost_time = 586.648s
	 batch = 11500 	 loss = 3.34609 	 cost_time = 591.772s
	 batch = 11600 	 loss = 4.71515 	 cost_time = 596.911s
	 batch = 11700 	 loss = 2.78308 	 cost_time = 601.932s
	 batch = 11800 	 loss = 6.24668 	 cost_time = 606.863s
	 batch = 11900 	 loss = 2.22448 	 cost_time = 611.931s
	 batch = 12000 	 loss = 3.30670 	 cost_time = 617.928s
	 batch = 12100 	 loss = 3.69916 	 cost_time = 622.989s
	 batch = 12200 	 loss = 3.84579 	 cost_time = 628.052s
	 batch = 12300 	 loss = 4.19944 	 cost_time = 633.099s
	 batch = 12400 	 loss = 4.62486 	 cost_time = 638.209s
	 batch = 12500 	 loss = 3.14498 	 cost_time = 643.291s
